global_epoch,stage,val_box_loss,val_cls_loss,val_map50,val_coco_ap
1,head_only,0.898430,0.987190,0.864320,0.634744
2,head_only,0.897240,0.895110,0.864630,0.633133
3,head_only,0.897360,0.980940,0.867960,0.635940
4,head_only,0.884540,0.898720,0.869310,0.644053
5,head_only,0.879980,0.976440,0.870510,0.645361
5,head_only,0.000000,0.000000,0.870509,0.645361
6,neck_head,0.862180,1.026210,0.867680,0.646159
7,neck_head,0.849360,0.884090,0.871880,0.646103
8,neck_head,0.850850,0.856740,0.875080,0.651765
9,neck_head,0.839440,0.852880,0.877020,0.653786
10,neck_head,0.840150,0.837600,0.877720,0.655321
10,neck_head,0.000000,0.000000,0.877769,0.655321
