cluster,METEOR_base,count,METEOR_aug,METEOR_delta
202,79.09814433251933,2,84.73769112113445,5.639546788615121
41,76.37606681039574,4,62.84021436462843,-13.535852445767311
289,73.8954922628392,1,63.559322033898304,-10.336170228940894
73,64.27700284326069,6,62.72331850334927,-1.5536843399114204
77,63.447978907649954,9,62.47014359416667,-0.9778353134832827
3,60.159710499338566,10,42.672183937056346,-17.48752656228222
295,59.26539574943715,4,60.347722412740495,1.0823266633033484
293,59.25047534367326,4,54.8757568378907,-4.37471850578256
22,58.99277806624124,2,49.29182959272948,-9.700948473511765
93,58.53577871081489,4,67.4844105244043,8.948631813589408
166,58.40442816374493,3,61.12836504440515,2.7239368806602187
266,57.24033631604457,3,43.90754225098885,-13.332794065055722
35,56.52913339248744,2,39.94991403154668,-16.579219360940755
250,55.84298267225097,3,55.630488271304415,-0.2124944009465537
180,55.6204179158608,5,47.63557352090982,-7.984844394950976
161,55.60490734367012,31,58.93958433637389,3.33467699270377
193,55.55555555555555,1,40.00000000000001,-15.555555555555543
127,55.47257415757145,11,59.15479539393096,3.68222123635951
218,55.40792592342219,3,46.91142191769163,-8.496504005730564
104,55.25375013536168,7,53.8496275402992,-1.404122595062475
220,55.19206358800774,2,54.63571889103804,-0.5563446969697026
0,55.01351821476202,9,58.64496465600708,3.6314464412450604
302,54.85336386266065,8,52.366161832244856,-2.4872020304157942
287,54.02945575556285,8,55.58692205362826,1.5574662980654068
149,53.78849689064977,5,54.215488012390686,0.4269911217409188
301,53.71427427448023,5,55.48421655050381,1.7699422760235777
12,53.26003548836648,10,44.70230253430117,-8.557732954065315
28,53.19920003590874,8,54.7704355538,1.5712355178912603
254,53.17129969754247,9,47.0047385983026,-6.166561099239871
38,52.94573574807666,36,51.51954274827436,-1.4261929998022964
292,52.52753180882164,15,50.50131789617606,-2.0262139126455807
303,52.473262032085564,2,69.01502837159708,16.54176633951152
238,52.27430441042707,7,42.65126186749188,-9.623042542935188
279,52.17910396764556,7,50.59025592206452,-1.588848045581038
261,52.148928074991325,11,62.45551554884697,10.306587473855643
308,51.88483050143008,35,54.580334796458914,2.695504295028833
204,51.83647865657472,3,68.66241298879824,16.825934332223518
14,51.695373902415135,19,55.61695930298608,3.9215854005709474
115,51.65483366883499,8,42.0054140072234,-9.649419661611589
208,51.5714465682498,9,63.53955646914931,11.968109900899513
10,51.4949549701028,8,53.50601899427608,2.0110640241732796
275,51.33071960105743,5,37.921929779468535,-13.408789821588897
306,51.32785408716253,7,59.012890826755154,7.685036739592626
146,51.170822205187775,5,58.90296046546047,7.732138260272691
249,51.13971523010426,2,54.2572463768116,3.1175311467073428
111,50.79744046930273,45,43.652722920109134,-7.144717549193594
153,50.592316030565016,8,49.32474415428719,-1.2675718762778274
278,50.50040450799733,8,50.95176945364842,0.4513649456510862
126,50.30037394612355,28,52.03903709328478,1.7386631471612333
307,50.09308743307588,31,53.20938156498401,3.116294131908127
241,49.77913693510024,2,39.97037105875633,-9.808765876343912
40,49.718634234995896,16,48.823912828271695,-0.8947214067242015
18,49.43061461920136,19,48.52310185527771,-0.9075127639236484
59,49.30693069306931,1,31.562500000000004,-17.744430693069308
8,49.054036480024266,36,58.49531059825855,9.441274118234283
50,49.04990112065328,8,40.40371742479973,-8.646183695853551
130,48.98506191867997,9,48.40163713394047,-0.5834247847394991
